Astro;46.153847
Гламур Бьюти;82.352943
Вельвет Тач;79.775276
Шик Косметикс;48.351650
Нейл Кутюр;11.392405
Кельвин Кляйн;41.379311
Шанель;60.344826
Диор;83.673470
Дольче и Габбана;25.000000
Гуччи;20.879122
Аннибале Коломбо;63.636364
Аннибале Коломбо;45.000000
Фёрничер Ко;93.750000
Нолл;19.230770
Бас Трендс;42.857143
Эссенс Про;91.919189
Гламур Бьюти Плюс;47.058823
Вельвет Тач Групп;37.078651
Шик Косметикс Люкс;93.406593
Нейл Кутюр Мастер;81.012657
Кельвин Кляйн;6.896552
Шанель;86.206894
Диор;7.142858
Дольче и Габбана;100.000000
Гуччи;45.054947
Аннибале Коломбо;13.636364
Аннибале Коломбо;63.333332
Мебельная Компания N1;32.812500
Нолл Дизайн;92.307693
Бас Трендс Дизайн;0.000000
Эппл;75.000000
Мясной Двор;45.348839
Кошачий Корм;86.956520
Куриная Ферма;18.556700
МаслоПром;10.000000
Овощной Рай;91.666672
Собачья Радость;74.647888
Птицефабрика;44.444447
Рыбный Цех;39.189190
Зеленый Сад;39.393940
Перец-Чили;66.666672
Медовая Лавка;88.235298
Снежное Лакомство;55.555557
Соковый Завод;10.000000
Фруктовый Мир;88.888893
Апекс Бьюти;85.000000
Луна Косметикс;11.764706
Вельвет Воркс;49.473686
